"id_persona","nome","cognome","citta_orig","nazione_orig","latitudine_orig","longitudine_orig","toponimo_nome","latitudine","longitudine","time","time_uscita","anno_ingresso","mese_ingresso","giorno_ingresso","anno_uscita","mese_uscita","giorno_uscita","Status","luogonascita","luogomorte","anno_nascita","mese_nascita","giorno_nascita","anno_morte","mese_morte","giorno_morte"
44,"Carlo","Aldegheri","Colognola ai Colli","Italia",45.4346311,11.1867006,"Antibes",43.58134345,7.12791304,"1922-09-15","1932-02-15",1922,"09",15,1932,"02",15,"espatrio","Colognola ai Colli","Guarujà",1902,2,22,1995,5,"04"
83,"Domenico","Anfosso","Provenza","Francia",43.29858,5.36999,NULL,40.4168,-3.7038,"1936-07-19","1939-02-09",1936,"07",19,1939,"02","09","espatrio","Ventimiglia",NULL,1892,3,4," - "," - "," - "
83,"Domenico","Anfosso",NULL,"Spagna",48.8566,2.3522,NULL,48.8566,2.3522,"1939-02-09","1939-12-15",1939,"02","09",1939,12,15,"espatrio","Ventimiglia",NULL,1892,3,4," - "," - "," - "
44,"Carlo","Aldegheri",NULL,"Francia",40.4168,-3.7038,"Sabadell",41.54632777,2.11590886,"1932-02-15","1939-02-15",1932,"02",15,1939,"02",15,"espatrio","Colognola ai Colli","Guarujà",1902,2,22,1995,5,"04"
44,"Carlo","Aldegheri","Reims","Francia",49.258002,4.031745,"Verona",45.4384958,10.9924122,"1941-08-15","1951-12-15",1941,"08",15,1951,12,15,"espatrio","Colognola ai Colli","Guarujà",1902,2,22,1995,5,"04"
44,"Carlo","Aldegheri",NULL,"Italia",NULL,NULL,"Guarujà",-23.999174,-46.26455,"1951-01-15","1951-12-15",1951,"01",15,1951,12,15,"espatrio","Colognola ai Colli","Guarujà",1902,2,22,1995,5,"04"
1053,"Antonio","Carini",NULL,"Italia",40.7128,-74.0060,"New York",40.7308619,-73.9871558,"1924-09-15","1924-12-15",1924,"09",15,1924,12,15,"espatrio","San Nazzaro","Meldola",1902,10,7,1944,3,15
1053,"Antonio","Carini","Buenos Aires","Argentina",-34.60378418,-58.38160247,NULL,50.8503,4.3517,"1936-07-19","1936-12-15",1936,"07",19,1936,12,15,"espatrio","San Nazzaro","Meldola",1902,10,7,1944,3,15
1053,"Antonio","Carini",NULL,"Belgio",48.8566,2.3522,NULL,48.8566,2.3522,"1936-07-19","1936-12-15",1936,"07",19,1936,12,15,"espatrio","San Nazzaro","Meldola",1902,10,7,1944,3,15
1053,"Antonio","Carini",NULL,"Francia",40.4168,-3.7038,"Valencia",39.4699014,-0.3759513,"1936-11-19","1939-02-10",1936,11,19,1939,"02",10,"espatrio","San Nazzaro","Meldola",1902,10,7,1944,3,15
1053,"Antonio","Carini",NULL,"Spagna",48.8566,2.3522,NULL,48.8566,2.3522,"1939-02-05","1941-12-15",1939,"02","05",1941,12,15,"espatrio","San Nazzaro","Meldola",1902,10,7,1944,3,15
1109,"Lucilio","Caselli",NULL,"Italia",48.8566,2.3522,"Ottange",49.44176146,6.01829767,"1923-01-15","1936-12-26",1923,"01",15,1936,12,26,"espatrio","Mercato Saraceno",NULL,1911,7,25," - "," - "," - "
1109,"Lucilio","Caselli","Ottange","Francia",49.44176146,6.01829767,"Barcellona",41.3828939,2.1774322,"1936-12-15","1939-01-15",1936,12,15,1939,"01",15,"espatrio","Mercato Saraceno",NULL,1911,7,25," - "," - "," - "
1109,"Lucilio","Caselli",NULL,"Francia",41.9028,12.4964,"Mentone",43.77567622,7.50282526,"1941-05-13","1941-12-15",1941,"05",13,1941,12,15,"espatrio","Mercato Saraceno",NULL,1911,7,25," - "," - "," - "
1742,"Guglielmo","Marconi","Rimini","Italia",44.0593886,12.5684371,"Homécourt",49.2252527,5.99200666,"1925-06-25","1925-12-15",1925,"06",25,1925,12,15,"espatrio","Pedaso","Rimini",1903,9,18,1968,6,1
1742,"Guglielmo","Marconi","Homécourt","Francia",49.2252527,5.99200666,"Esch-sur-Alzette",49.49628779,5.9846735,"1925-08-15","1926-07-01",1925,"08",15,1926,"07","01","espatrio","Pedaso","Rimini",1903,9,18,1968,6,1
1742,"Guglielmo","Marconi","Esch-sur-Alzette","Lussemburgo",49.49628779,5.9846735,"Knutange",49.34034622,6.03815675,"1926-07-01","1928-12-15",1926,"07","01",1928,12,15,"espatrio","Pedaso","Rimini",1903,9,18,1968,6,1
1742,"Guglielmo","Marconi","Knutange","Francia",49.34034622,6.03815675,"Saar",49.4173988,6.9805789,"1928-01-15","1928-12-15",1928,"01",15,1928,12,15,"espatrio","Pedaso","Rimini",1903,9,18,1968,6,1
1742,"Guglielmo","Marconi","Saar","Germania",49.4173988,6.9805789,"Couillet",50.39419062,4.467085,"1929-01-15","1931-12-15",1929,"01",15,1931,12,15,"espatrio","Pedaso","Rimini",1903,9,18,1968,6,1
1742,"Guglielmo","Marconi","Couillet","Belgio",50.39419062,4.467085,"Fontenay-sous-Bois",48.84887091,2.47453094,"1931-01-15","1936-10-15",1931,"01",15,1936,10,15,"espatrio","Pedaso","Rimini",1903,9,18,1968,6,1
1742,"Guglielmo","Marconi",NULL,"Francia",40.4168,-3.7038,NULL,40.4168,-3.7038,"1936-10-19","1937-12-15",1936,10,19,1937,12,15,"espatrio","Pedaso","Rimini",1903,9,18,1968,6,1
1742,"Guglielmo","Marconi",NULL,"Spagna",48.8566,2.3522,NULL,48.8566,2.3522,"1937-01-15","1941-04-21",1937,"01",15,1941,"04",21,"espatrio","Pedaso","Rimini",1903,9,18,1968,6,1
1742,"Guglielmo","Marconi",NULL,"Francia",52.5200,13.4050,"Aschersleben",51.75481124,11.4514339,"1941-04-21","1941-11-27",1941,"04",21,1941,11,27,"espatrio","Pedaso","Rimini",1903,9,18,1968,6,1
1742,"Guglielmo","Marconi","Bosco Chiesanuova","Germania",45.62103,11.03224,NULL,41.9028,12.4964,"1942-06-09","1942-12-15",1942,"06","09",1942,12,15,"espatrio","Pedaso","Rimini",1903,9,18,1968,6,1
30,"Giuseppe","Alberganti","Milano","Italia",45.46417156,9.18954313,"Nizza",43.69705658,7.27023751,"1930-08-15","1930-12-15",1930,"08",15,1930,12,15,"espatrio","Stradella","Milano",1898,7,24,1980,11,3
30,"Giuseppe","Alberganti","Parigi","Francia",48.86536408,2.32105494,"Barcellona",41.3828939,2.1774322,"1937-03-15","1938-12-15",1937,"03",15,1938,12,15,"espatrio","Stradella","Milano",1898,7,24,1980,11,3
30,"Giuseppe","Alberganti","Torino","Italia",45.0677551,7.6824892,NULL,32.8872,13.1913,"1918-01-15","1918-12-15",1918,"01",15,1918,12,15,"espatrio","Stradella","Milano",1898,7,24,1980,11,3
30,"Giuseppe","Alberganti","Valencia","Spagna",39.4699014,-0.3759513,"Parigi",48.86536408,2.32105494,"1938-01-15","1941-04-15",1938,"01",15,1941,"04",15,"espatrio","Stradella","Milano",1898,7,24,1980,11,3
30,"Giuseppe","Alberganti","Vernet","Francia",43.437160,1.429510,"Milano",45.46417156,9.18954313,"1941-04-15","1941-12-15",1941,"04",15,1941,12,15,"espatrio","Stradella","Milano",1898,7,24,1980,11,3
744,"Mario","Bordoni","Bologna","Italia",44.4936714,11.3430347,"Longwy",49.51445439,5.76857865,"1923-01-15","1925-12-15",1923,"01",15,1925,12,15,"espatrio","Terni","Pianoro",1906,5,27,1944,10,17
744,"Mario","Bordoni",NULL,NULL,40.4168,-3.7038,"Barcellona",41.3828939,2.1774322,"1933-01-15","1939-02-15",1933,"01",15,1939,"02",15,"espatrio","Terni","Pianoro",1906,5,27,1944,10,17
744,"Mario","Bordoni",NULL,"Spagna",48.8566,2.3522,NULL,48.8566,2.3522,"1939-02-05","1941-11-15",1939,"02","05",1941,11,15,"espatrio","Terni","Pianoro",1906,5,27,1944,10,17
3226,"Francesco","Scotti","Milano","Italia",45.46417156,9.18954313,"Parigi",48.86536408,2.32105494,"1936-04-15","1936-08-11",1936,"04",15,1936,"08",11,"espatrio","Casalpusterlengo","Milano",1910,7,25,1973,1,24
3226,"Francesco","Scotti","Parigi","Francia",48.86536408,2.32105494,"Barcellona",41.3828939,2.1774322,"1936-08-11","1939-02-12",1936,"08",11,1939,"02",12,"espatrio","Casalpusterlengo","Milano",1910,7,25,1973,1,24
3226,"Francesco","Scotti",NULL,"Spagna",48.8566,2.3522,"Prats-de-Mollo-la-Preste",42.403959,2.479481,"1939-02-12","1943-09-06",1939,"02",12,1943,"09","06","espatrio","Casalpusterlengo","Milano",1910,7,25,1973,1,24
3226,"Francesco","Scotti","Lione","Francia",45.7578137,4.8320114,"Milano",45.46417156,9.18954313,"1943-09-06","1943-12-15",1943,"09","06",1943,12,15,"espatrio","Casalpusterlengo","Milano",1910,7,25,1973,1,24
2972,"Gherardo","Tedeschi",NULL,"Italia",40.4168,-3.7038,NULL,40.4168,-3.7038,"1937-09-27","1938-05-15",1937,"09",27,1938,"05",15,"espatrio","Reggio Emilia","Reggio Emilia",1910,3,21,1964,2,12
2972,"Gherardo","Tedeschi",NULL,"Spagna",48.8566,2.3522,NULL,48.8566,2.3522,"1938-05-15","1938-12-15",1938,"05",15,1938,12,15,"espatrio","Reggio Emilia","Reggio Emilia",1910,3,21,1964,2,12
2623,"Filippo","Pelosi",NULL,"Italia",48.8566,2.3522,"Parigi",48.86536408,2.32105494,"1929-06-30","1936-11-11",1929,"06",30,1936,11,11,"espatrio","San Severo","San Severo",1896,11,5,1980,2,22
2623,"Filippo","Pelosi","Parigi","Francia",48.86536408,2.32105494,NULL,40.4168,-3.7038,"1936-11-11","1939-02-11",1936,11,11,1939,"02",11,"espatrio","San Severo","San Severo",1896,11,5,1980,2,22
2623,"Filippo","Pelosi",NULL,"Spagna",48.8566,2.3522,"Saint-Cyprien",42.61740457,3.00484657,"1939-02-11","1941-09-23",1939,"02",11,1941,"09",23,"espatrio","San Severo","San Severo",1896,11,5,1980,2,22
2623,"Filippo","Pelosi","Vernet","Francia",43.437160,1.429510,"Ventotene",40.796002,13.431213,"1941-09-23","1941-12-15",1941,"09",23,1941,12,15,"espatrio","San Severo","San Severo",1896,11,5,1980,2,22
518,"Alessandro","Bianconcini","Imola","Italia",44.3535145,11.7141233,"Parigi",48.86536408,2.32105494,"1935-10-15","1936-09-28",1935,10,15,1936,"09",28,"espatrio","Imola","Bologna",1909,8,7,1944,1,27
518,"Alessandro","Bianconcini","Parigi","Francia",48.86536408,2.32105494,NULL,40.4168,-3.7038,"1936-09-28","1937-04-25",1936,"09",28,1937,"04",25,"espatrio","Imola","Bologna",1909,8,7,1944,1,27
518,"Alessandro","Bianconcini",NULL,"Spagna",48.8566,2.3522,NULL,48.8566,2.3522,"1937-04-25","1942-07-08",1937,"04",25,1942,"07","08","espatrio","Imola","Bologna",1909,8,7,1944,1,27
518,"Alessandro","Bianconcini","Parigi","Francia",48.86536408,2.32105494,"Susa",45.1386144,7.04845729,"1942-07-08","1942-12-15",1942,"07","08",1942,12,15,"espatrio","Imola","Bologna",1909,8,7,1944,1,27
1233,"Alcide","Leonardi","Reggio Emilia","Italia",44.6978446,10.6304958,"Parigi",48.86536408,2.32105494,"1926-09-05","1936-09-01",1926,"09","05",1936,"09","01","espatrio","Monchio delle Olle",NULL,1905,7,18,1983," - "," - "
1233,"Alcide","Leonardi","Parigi","Francia",48.86536408,2.32105494,NULL,40.4168,-3.7038,"1936-09-01","1937-05-15",1936,"09","01",1937,"05",15,"espatrio","Monchio delle Olle",NULL,1905,7,18,1983," - "," - "
1233,"Alcide","Leonardi",NULL,"Spagna",48.8566,2.3522,NULL,48.8566,2.3522,"1937-05-15","1938-01-10",1937,"05",15,1938,"01",10,"espatrio","Monchio delle Olle",NULL,1905,7,18,1983," - "," - "
1233,"Alcide","Leonardi",NULL,"Francia",50.8503,4.3517,"Liegi",50.64528340,5.57325482,"1938-01-15","1940-12-12",1938,"01",15,1940,12,12,"espatrio","Monchio delle Olle",NULL,1905,7,18,1983," - "," - "
